"b" , "c" , "year" , "r" , "r_s" , "f"
"1" , 5495.87402492762 , 2925.36280037906 , 1 , 0.935449694741983 , -0.00596524264779873 , 0.532283452479169
"2" , 13886.948661626 , 2925.36280037906 , 2 , 0.929869510328038 , -0.00596524264779873 , 0.532283452479169
"3" , 27557.3061921891 , 7391.79297801128 , 3 , 0.924289325914093 , -0.00596524264779873 , 0.532283452479169
"4" , 41828.4558763326 , 14668.298081004 , 4 , 0.918709141500147 , -0.00596524264779873 , 0.532283452479169
"5" , 50300.8042989356 , 22264.5949057269 , 5 , 0.913128957086202 , -0.00596524264779873 , 0.532283452479169
"6" , 53015.3286248411 , 26774.2857747165 , 6 , 0.907548772672257 , -0.00596524264779873 , 0.532283452479169
"7" , 53470.631650372 , 28219.1821547481 , 7 , 0.901968588258312 , -0.00596524264779873 , 0.532283452479169
"8" , 53388.4424146044 , 28461.5324211019 , 8 , 0.896388403844367 , -0.00596524264779873 , 0.532283452479169
"9" , 53196.0188279399 , 28417.7844509309 , 9 , 0.890808219430422 , -0.00596524264779873 , 0.532283452479169
"10" , 52980.0797762308 , 28315.3605598827 , 10 , 0.885228035016476 , -0.00596524264779873 , 0.532283452479169
"11" , 52757.7864855414 , 28200.4197759139 , 11 , 0.879647850602531 , -0.00596524264779873 , 0.532283452479169
"12" , 52532.5767604377 , 28082.0967356828 , 12 , 0.874067666188586 , -0.00596524264779873 , 0.532283452479169
"13" , 52305.1406500248 , 27962.2213256727 , 13 , 0.868487481774641 , -0.00596524264779873 , 0.532283452479169
"14" , 52075.6045221688 , 27841.1608476037 , 14 , 0.862907297360696 , -0.00596524264779873 , 0.532283452479169
"15" , 51843.9759559331 , 27718.9825649998 , 15 , 0.85732711294675 , -0.00596524264779873 , 0.532283452479169
"16" , 51610.2366604947 , 27595.6905120711 , 16 , 0.851746928532805 , -0.00596524264779873 , 0.532283452479169
"17" , 51374.3623686381 , 27471.2749529151 , 17 , 0.84616674411886 , -0.00596524264779873 , 0.532283452479169
"18" , 51136.3271994753 , 27345.7229704946 , 18 , 0.840586559704915 , -0.00596524264779873 , 0.532283452479169
"19" , 50896.1046371517 , 27219.0207888411 , 19 , 0.83500637529097 , -0.00596524264779873 , 0.532283452479169
"20" , 50653.667754669 , 27091.1542940041 , 20 , 0.829426190877025 , -0.00596524264779873 , 0.532283452479169
"21" , 50408.9892655235 , 26962.109153188 , 21 , 0.823846006463079 , -0.00596524264779873 , 0.532283452479169
"22" , 50162.0415353318 , 26831.8708422382 , 22 , 0.818265822049134 , -0.00596524264779873 , 0.532283452479169
"23" , 49912.7965841234 , 26700.4246518298 , 23 , 0.812685637635189 , -0.00596524264779873 , 0.532283452479169
"24" , 49661.2260865947 , 26567.7556886877 , 24 , 0.807105453221244 , -0.00596524264779873 , 0.532283452479169
"25" , 49407.3013721108 , 26433.8488757212 , 25 , 0.801525268807299 , -0.00596524264779873 , 0.532283452479169
"26" , 49150.9934249195 , 26298.6889520259 , 26 , 0.795945084393353 , -0.00596524264779873 , 0.532283452479169
"27" , 48892.2728847187 , 26162.2604729971 , 27 , 0.790364899979408 , -0.00596524264779873 , 0.532283452479169
"28" , 48631.1100476373 , 26024.5478106317 , 28 , 0.784784715565463 , -0.00596524264779873 , 0.532283452479169
"29" , 48367.4748676698 , 25885.5351540508 , 29 , 0.779204531151518 , -0.00596524264779873 , 0.532283452479169
"30" , 48101.3369586068 , 25745.2065102627 , 30 , 0.773624346737573 , -0.00596524264779873 , 0.532283452479169
"31" , 47832.6655964986 , 25603.5457051911 , 31 , 0.768044162323628 , -0.00596524264779873 , 0.532283452479169
"32" , 47561.429722695 , 25460.5363849858 , 32 , 0.762463977909682 , -0.00596524264779873 , 0.532283452479169
