"b","c","year","f","f_ratio","id","r_0","hcr","b_0"
1500,189.446742648821,1,0.126297828432547,1.89446742648821,1,0.1,0.8,1500
1547.36168566221,195.428420698862,2,0.126297828432547,1.51557394119057,1,0.1,0.8,1500
1592.91715656691,201.181977747349,3,0.126297828432547,1.51557394119057,1,0.1,0.8,1500
1636.62223889798,206.701834737228,4,0.126297828432547,1.51557394119057,1,0.1,0.8,1500
1678.45028866544,169.587701272342,5,0.101038262746038,1.51557394119057,1,0.1,0.8,1500
1760.78748396384,177.906908444673,6,0.101038262746038,1.21245915295245,1,0.1,0.8,1500
1841.23428507275,186.035113472194,7,0.101038262746038,1.21245915295245,1,0.1,0.8,1500
1919.51863550146,193.944828239713,8,0.101038262746038,1.21245915295245,1,0.1,0.8,1500
1995.40983843337,201.61274354166,9,0.101038262746038,1.21245915295245,1,0.1,0.8,1500
2068.71800547976,167.215738708099,10,0.0808306101968303,1.21245915295245,1,0.1,0.8,1500
2181.09660872034,176.299369781102,11,0.0808306101968303,0.969967322361963,1,0.1,0.8,1500
2291.11625092645,185.192324594259,12,0.0808306101968303,0.969967322361963,1,0.1,0.8,1500
2398.32977269,193.858458979758,13,0.0808306101968303,0.969967322361963,1,0.1,0.8,1500
2502.35423064609,202.266819391744,14,0.0808306101968303,0.969967322361963,1,0.1,0.8,1500
2602.87106780768,220.911239508298,15,0.0848721407066718,0.969967322361963,1,0.1,0.8,1500
2689.10508740649,228.230105353391,16,0.0848721407066718,1.01846568848006,1,0.1,0.8,1500
2771.47801147962,235.221271755746,17,0.0848721407066718,1.01846568848006,1,0.1,0.8,1500
2849.9242991596,241.879176121636,18,0.0848721407066718,1.01846568848006,1,0.1,0.8,1500
2924.41973153448,248.201762940162,19,0.0848721407066718,1.01846568848006,1,0.1,0.8,1500
2994.97659135359,254.19007467455,20,0.0848721407066718,1.01846568848006,1,0.1,0.8,1500
3061.6388359114,259.847842074483,21,0.0848721407066718,1.01846568848006,1,0.1,0.8,1500
